date,temperature_mean,temperature_max,temperature_min,rainfall,district
2020-10-02,28.3,36.59,19.95,0.0,Balaka
2020-10-03,28.09,36.63,20.09,0.0,Balaka
2020-10-04,28.33,36.47,20.11,0.0,Balaka
2020-10-05,28.63,36.43,21.33,0.0,Balaka
2020-10-06,26.91,33.66,20.19,0.06,Balaka
2020-10-07,26.0,32.46,20.0,0.01,Balaka
2020-10-08,25.47,32.21,19.13,0.33,Balaka
2020-10-09,27.28,34.74,19.5,0.05,Balaka
2020-10-10,29.49,36.24,22.62,0.45,Balaka
2020-10-11,27.56,31.83,23.04,2.88,Balaka
2020-10-12,26.49,33.86,21.21,10.93,Balaka
2020-10-13,24.01,29.64,19.73,5.97,Balaka
2020-10-14,25.46,32.69,19.44,0.03,Balaka
2020-10-15,23.58,31.47,16.91,0.0,Balaka
2020-10-16,24.42,32.24,16.12,0.0,Balaka
2020-10-17,25.21,32.53,18.38,0.01,Balaka
2020-10-18,24.77,33.58,17.54,0.0,Balaka
2020-10-19,25.14,34.14,15.93,0.0,Balaka
2020-10-20,26.86,34.76,18.78,0.0,Balaka
2020-10-21,27.84,35.19,19.5,0.01,Balaka
2020-10-22,27.31,34.35,21.91,0.0,Balaka
2020-10-23,26.48,34.34,18.63,0.0,Balaka
2020-10-24,26.57,33.4,18.9,0.11,Balaka
2020-10-25,27.01,33.35,20.09,0.52,Balaka
2020-10-26,27.51,33.58,21.55,0.7,Balaka
2020-10-27,27.73,33.94,21.25,1.05,Balaka
2020-10-28,27.08,33.15,21.69,1.35,Balaka
2020-10-29,27.6,33.98,21.48,0.07,Balaka
2020-10-30,27.5,34.77,20.23,0.17,Balaka
2020-10-31,25.72,30.76,20.75,1.53,Balaka
2020-11-01,24.06,28.4,20.52,4.24,Balaka
2020-11-02,25.4,31.16,19.77,1.17,Balaka
2020-11-03,27.19,35.1,19.97,0.29,Balaka
2020-11-04,27.57,36.07,19.55,0.0,Balaka
2020-11-05,27.84,36.61,20.18,0.0,Balaka
2020-11-06,27.79,37.26,18.75,0.0,Balaka
2020-11-07,28.01,37.02,20.17,0.0,Balaka
2020-11-08,28.74,37.6,20.17,0.0,Balaka
2020-11-09,29.28,37.33,21.21,0.0,Balaka
2020-11-10,30.07,37.33,22.44,0.0,Balaka
2020-11-11,28.81,34.14,23.79,0.04,Balaka
2020-11-12,26.45,32.04,22.28,0.69,Balaka
2020-11-13,26.02,33.49,20.04,0.99,Balaka
2020-11-14,25.41,34.14,19.05,0.03,Balaka
2020-11-15,26.32,35.37,17.79,0.0,Balaka
2020-11-16,27.35,36.27,18.31,0.0,Balaka
2020-11-17,28.48,37.3,19.84,0.0,Balaka
2020-11-18,30.12,38.37,21.12,0.01,Balaka
2020-11-19,31.34,38.9,22.83,0.1,Balaka
2020-11-20,31.27,37.96,25.45,1.03,Balaka
2020-11-21,28.97,35.99,22.36,1.41,Balaka
2020-11-22,29.74,37.03,22.36,0.1,Balaka
2020-11-23,31.28,38.04,24.58,0.0,Balaka
2020-11-24,31.5,39.25,23.98,0.0,Balaka
2020-11-25,31.85,38.51,24.28,0.06,Balaka
2020-11-26,30.13,38.43,22.51,1.64,Balaka
2020-11-27,27.96,33.98,22.51,2.98,Balaka
2020-11-28,29.08,35.54,22.34,0.64,Balaka
2020-11-29,29.15,35.65,22.9,1.73,Balaka
2020-11-30,28.53,34.0,23.81,11.23,Balaka
2020-12-01,24.86,28.86,22.32,13.45,Balaka
2020-12-02,25.51,30.2,21.27,28.72,Balaka
2020-12-03,25.24,29.36,21.85,5.76,Balaka
2020-12-04,25.86,30.72,21.62,10.79,Balaka
2020-12-05,26.16,31.82,21.83,10.71,Balaka
